commit_id,commit_role,repo_url,project,dataset_source,num_lines_added,num_lines_deleted,churn
00194f5fe462123f70b0bae7987317b52898b868,VFC,https://github.com/gpac/gpac,gpac,ICVul,1,1,2
00201ecd8f982da3b67d4f6868af72a1b03b14e0,VFC,https://github.com/nghttp2/nghttp2,nghttp2,ICVul,25,1,26
002408c3696b173863228223d535f9de72a101a9,VFC,https://github.com/tensorflow/tensorflow,tensorflow,ICVul,11,0,11
00302787b788c5ff04cb6f62aed5a74d936e86c0,VFC,https://github.com/tensorflow/tensorflow,tensorflow,ICVul,1,6,7
0031c41be5c529f8329e327b63cde92ba1284842,VFC,https://github.com/torvalds/linux,linux,ICVul,3,3,6
0048b4837affd153897ed1222283492070027aa9,VFC,https://github.com/torvalds/linux,linux,ICVul,35,18,53
005145378c9ad7575a01b6ce1ba118fb427f583a,VFC,https://github.com/torvalds/linux,linux,ICVul,5,4,9
0052500c1ed5bf8263b26b9fd7773dbdc6f170c4,VFC,https://github.com/radareorg/radare2,radare2,ICVul,8,5,13
0061f393de54cf0326621c079dc2988336d1ebb3,VFC,https://github.com/yhirose/cpp-peglib,cpp-peglib,ICVul,28,4,32
00622428bda8d7521db8d74260b519fa41d69d0a,VFC,https://github.com/libvips/libvips,libvips,ICVul,2,2,4
007521ac3c95bc76e3d59c6dbfe75d06c8075c33,VFC,https://github.com/gwsw/less,less,ICVul,25,6,31
008ba2a13f2d04c947adc536d19debb8fe66f110,VFC,https://github.com/torvalds/linux,linux,ICVul,11,5,16
00acae117da1b45b318dc36531a7b0021b8097ae,VFC,https://github.com/mruby/mruby,mruby,ICVul,1,1,2
00b5f37189d24ac3ed46cb7f11742094778c46ce,VFC,https://github.com/torvalds/linux,linux,ICVul,4,0,4
00c315cb0c8ab77c67be4a2ac08a71a83ac58751,VFC,https://github.com/zmartzone/mod_auth_openidc,mod_auth_openidc,ICVul,1,1,2
00c821af032ba9e5f5fa3fe14690c8d28a657624,VFC,https://github.com/tensorflow/tensorflow,tensorflow,ICVul,5,5,10
00d4606c3baf813b7b1c176823b2729bf51002a2,VFC,https://github.com/ccxvii/mujs,mujs,ICVul,66,35,101
00d965474b22b54e4275232bc71ee0c699c5cd21,VFC,https://github.com/openssl/openssl,openssl,ICVul,15,4,19
00e8181bd97c834fe60751b0c511d4bb97875f78,VFC,https://github.com/FFmpeg/FFmpeg,FFmpeg,ICVul,3,1,4
00e8f205475332d7842d0f0d1481eeab4e83017c,VFC,https://github.com/radare/radare2,radare2,ICVul,13,3,16
0102c5d4db7fdbf08b5b591b2a6264de33867a07,VFC,https://github.com/gpac/gpac,gpac,ICVul,12,16,28
013ff63b649475f0ee134e2c8d0c8e65284ede50,VFC,https://github.com/torvalds/linux,linux,ICVul,52,16,68
0143fc5e9f6f5aad4764801015bc8d4b4a278200,VFC,https://github.com/torvalds/linux,linux,ICVul,1,0,1
01686e15ec77ccb4d49a77d5bce3a01601e54d64,VFC,https://github.com/facebook/fbthrift,fbthrift,ICVul,3,2,5
017137471d0043e0321e377ed8da48e45a3ec632,VFC,https://github.com/libass/libass,libass,ICVul,2,2,4
0185604c2d82c560dab2f2933a18f797e74ab5a8,VFC,https://github.com/torvalds/linux,linux,ICVul,6,2,8
01c61f8ab110a77ae64b5ca67c244c728c506f03,VFC,https://github.com/libgd/libgd,libgd,ICVul,19,29,48
01c658f8c45cb92a343be5f32aa6da70b2032168,VFC,https://github.com/Duncaen/OpenDoas,OpenDoas,ICVul,40,14,54
01ca667133d019edc9f0a1f70a272447c84ec41f,VFC,https://github.com/torvalds/linux,linux,ICVul,2,0,2
01cff3f986259d661103412a20745928c727326f,VFC,https://github.com/tensorflow/tensorflow,tensorflow,ICVul,6,5,11
01faddbe2711a4156180c4a92837e2f23683cc68,VFC,https://github.com/ImageMagick/ImageMagick,ImageMagick,ICVul,7,3,10
0215324a66af949be39b34be2d55143232c1cb71,VFC,https://github.com/redis/redis,redis,ICVul,15,0,15
024e5f23db8d8ad3449714b906b46094baaffb89,VFC,https://github.com/KDE/kdeconnect-kde,kdeconnect-kde,ICVul,10,0,10
025e77fcb2f45b21689931ba3bf74eac153afa48,VFC,https://github.com/ImageMagick/ImageMagick,ImageMagick,ICVul,6,7,13
025fbb756d44ffee8f847db4222ed6aa4bd1fbe4,VFC,https://github.com/gssapi/gss-ntlmssp,gss-ntlmssp,ICVul,8,0,8
027424c2c6c0991cb9c22f9511478229c9b17e5d,VFC,https://github.com/FreeRDP/FreeRDP,FreeRDP,ICVul,73,49,122
027cd9b7274988bb1af866539ba6c2fa2ff63e45,VFC,https://github.com/radareorg/radare2,radare2,ICVul,4,1,5
027ef6c87853b0a9df53175063028edb4950d476,VFC,https://github.com/torvalds/linux,linux,ICVul,8,3,11
027f84c69f4ef30c0693832a6c396ef19e563ca1,VFC,https://github.com/ARMmbed/mbedtls,mbedtls,ICVul,1,1,2
02a06681fbe0e039b1c7a9215257a7537eddb518,VFC,https://github.com/envoyproxy/envoy,envoy,ICVul,39,0,39
02b7742f4d19631024bd766bd2bb76715780004e,VFC,https://github.com/moonlight-stream/moonlight-common-c,moonlight-common-c,ICVul,6,5,11
02c6a2b62ddcb6fa4569a591d3461a156a636305,VFC,https://github.com/memcached/memcached,memcached,ICVul,3,2,5
02dadf116124cfba35d7ebd9ced3e5ad0be0f176,VFC,https://github.com/ImageMagick/ImageMagick,ImageMagick,ICVul,2,1,3
02f909dc24b1f05cfbba75077c7707b905e63cd2,VFC,https://github.com/FFmpeg/FFmpeg,FFmpeg,ICVul,1,1,2
0305cd5f7fca85dae392b9ba85b116896eb7c1c7,VFC,https://github.com/torvalds/linux,linux,ICVul,68,14,82
030af767d357d1b4088c4a25c72cb3906abac489,VFC,https://github.com/tensorflow/tensorflow,tensorflow,ICVul,8,0,8
030e2c78d3a91dd0d27fef37e91950dde333eba1,VFC,https://github.com/torvalds/linux,linux,ICVul,1,1,2
0318fa8b61bd6c837641129d585f1a73c652b1e0,VFC,https://github.com/the-tcpdump-group/tcpdump,tcpdump,ICVul,5,1,6
03345ddc7faf7af079485f2cbe5d17a1611cbce1,VFC,https://github.com/redis/redis,redis,ICVul,6,5,11
033ab5b6488250c8c3b838f25a7cbc3e099230bb,VFC,https://github.com/mz-automation/libiec61850,libiec61850,ICVul,3,0,3
035cf2afc04988b22cb67f4ebfd77e9b344cb6e0,VFC,https://github.com/mongodb/mongo,mongo,ICVul,12,2,14
03628449b75a93787eb2359412a3980365dda49b,VFC,https://github.com/OpenSC/OpenSC,OpenSC,ICVul,5,5,10
03654e751e7f0700693526b67dfcadda6b42c9d0,VFC,https://github.com/PCRE2Project/pcre2,pcre2,ICVul,191,100,291
03a659d7be9a1154fdf5eeac221e5950fec07dad,VFC,https://github.com/tensorflow/tensorflow,tensorflow,ICVul,28,2,30
03c037bbd75588beba3ee09f26d17783d21e30bc,VFC,https://github.com/the-tcpdump-group/tcpdump,tcpdump,ICVul,63,29,92
03d1222ab9c2ce779cdf01bdb96cdd69cbdcfeda,VFC,https://github.com/axiomatic-systems/Bento4,Bento4,ICVul,3,3,6
03d7712b4bcd47bfe0fe14ba2fffa87e111fa086,VFC,https://github.com/qemu/qemu,qemu,ICVul,11,0,11
03e6bfb446f4e3f27c003d30d6a433e5dd8e2b3d,VFC,https://github.com/zmartzone/mod_auth_openidc,mod_auth_openidc,ICVul,101,90,191
04038bf3633c4b909b5ded3072dc88c8c419bf16,VFC,https://github.com/krb5/krb5,krb5,ICVul,17,8,25
040757f738e13caaa9c5078bca79aa97e11dde88,VFC,https://github.com/torvalds/linux,linux,ICVul,12,8,20
04171147948d0a3636bc6374181926f0fb2ec83a,VFC,https://github.com/heimdal/heimdal,heimdal,ICVul,4,0,4
04178de2247e353fc095846784b9a10fefdbf890,VFC,https://github.com/ImageMagick/ImageMagick,ImageMagick,ICVul,2,2,4
0417cea1b6d72f90bd4f1f573f91e42a8ba66a89,VFC,https://github.com/ImageMagick/ImageMagick,ImageMagick,ICVul,40,25,65
04197b341f23b908193308b8d63d17ff23232598,VFC,https://github.com/torvalds/linux,linux,ICVul,20,2,22
041e53cab7ca33481ae45ecd65ad596976d78e68,VFC,https://github.com/radare/radare2,radare2,ICVul,3,0,3
0449641130f5652b344ef6fa39fa019d7e94660a,VFC,https://github.com/torvalds/linux,linux,ICVul,5,3,8
045a31b95509c8f25f5f04ec5e0dec5cd09f2c5f,VFC,https://github.com/torvalds/linux,linux,ICVul,1,1,2
045deec1cbdebb27d817008ad5df94d96a08b1bf,VFC,https://github.com/tensorflow/tensorflow,tensorflow,ICVul,3,0,3
047f96fb39e6bf70cb9f344093f5886e51dce0ac,VFC,https://github.com/gpac/gpac,gpac,ICVul,7,4,11
04a567494786d5bb50894fc8bb8fea0cf496bea8,VFC,https://github.com/ImageMagick/ImageMagick,ImageMagick,ICVul,10,22,32
04bcef2a83f40c6db24222b27a52892cba39dffb,VFC,https://github.com/torvalds/linux,linux,ICVul,13,1,14
